ticker,current_weight,target_weight,weight_change,action
AAPL,0.0,0.1025,0.1025,BUY
ARE&M.NS,0.0,0.0202,0.0202,BUY
ARIHANTCAP.NS,0.0,0.0133,0.0133,BUY
BEL.NS,0.0,0.0125,0.0125,BUY
BSE.NS,0.0,0.0,0.0,HOLD
CASTROLIND.NS,0.0,0.022,0.022,BUY
CDSL.NS,0.0,0.0143,0.0143,BUY
COALINDIA.NS,0.0,0.0265,0.0265,BUY
CRM,0.0,0.0621,0.0621,BUY
GOLDIETF.NS,0.0,0.0228,0.0228,BUY
GOLD_PHYS,0.0,0.0,0.0,HOLD
GOOGL,0.0,0.0451,0.0451,BUY
HAL.NS,0.0,0.0205,0.0205,BUY
INDUSTOWER.NS,0.0,0.0242,0.0242,BUY
INFY.NS,0.0,0.023,0.023,BUY
IOC.NS,0.0,0.0357,0.0357,BUY
IREDA.NS,0.0,0.0162,0.0162,BUY
IRFC.NS,0.0,0.0078,0.0078,BUY
ITC.NS,0.0,0.0416,0.0416,BUY
ITCHOTELS.NS,0.0,0.0127,0.0127,BUY
JPPOWER.NS,0.0,0.0187,0.0187,BUY
JWL.NS,0.0,0.0,0.0,HOLD
MF_119598,0.6514,0.0,-0.6514,SELL
MF_120503,0.3367,0.0,-0.3367,SELL
MF_122639,0.0,0.0158,0.0158,BUY
MSFT,0.0,0.0689,0.0689,BUY
NHPC.NS,0.0,0.0,0.0,HOLD
NVDA,0.0,0.0333,0.0333,BUY
OIL.NS,0.0,0.03,0.03,BUY
PAYTM.NS,0.0,0.0111,0.0111,BUY
PNB.NS,0.0,0.0101,0.0101,BUY
RELIANCE.NS,0.0,0.0263,0.0263,BUY
SILVER_PHYS,0.0,0.0,0.0,HOLD
TATAPOWER.NS,0.0,0.0173,0.0173,BUY
TATASTEEL.NS,0.0,0.0198,0.0198,BUY
TMCV.NS,0.0,0.0114,0.0114,BUY
TMPV.NS,0.0,0.0194,0.0194,BUY
VOO,0.0,0.088,0.088,BUY
VSTIND.NS,0.0,0.0362,0.0362,BUY
WIPRO.NS,0.0,0.0206,0.0206,BUY
ZEEL.NS,0.0,0.0255,0.0255,BUY
ZYDUSLIFE.NS,0.0,0.0246,0.0246,BUY
